entity,count
Verfassungswiedrig,1
Teufel Merkel,1
Cond Rice,1
Oberdummzicke,1
Andra moi ennepe Mousa,1
Gernot Erlers,1
Trümmerfrau Hiess,1
Reiner Knudsen,1
Einfach,1
Würseler,1
Maddin,1
Bsp Altmaiers,1
Merkels Ar,1
RAin N Bislimi,1
Normaldenkenden,1
Penner,1
Arschlöcherwie Jörges,1
Penny,1
frech heut,1
Elfriede,1
RotGrünenMuselmist,1
Jäger,1
Milva,1
Hitlers,1
Detlef Tabbert,1
Dohnany,1
Wolfgang Thierse,1
Yup,1
LEIDEN,1
Konstantin von Notz Bundniss,1
Hirnriss,1
Scheiß Merkel,1
Kevin Keegan,1
Rivlin,1
Uffff Gottseidank,1
Nafri Antänzer,1
Schießt,1
Sep Oksadok,1
jetzterstrecht mein Land,1
Dr Carlo Schmidt,1
Helmholtz,1
Gute Schöne,1
uvor Hillary,1
Krieger,1
Nur Tusk,1
Merkel gg,1
Polizeibekannter,1
Wahlschafe,1
Reagan,1
Br Eugen Michael Ostermeier,1
Entartet,1
Merkel Schulz,1
schnellinfo de,1
maaslos,1
Wolfgang Meier,1
bitteschön,1
Landbauer,1
Genscher,1
Uschi u,1
Leitplanken,1
sorry ich,1
Kishon,1
Rohollah,1
Karl hör,1
Jesses,1
Motivationslieder,1
Umd,1
ach so na klar,1
altehrwürdig,1
stefan,1
Frau Kahane,1
